Date,Type,Error,Function,Trace
"03/17/2023, 13:48:52",KeyError,'Content',filter_listings,"Traceback (most recent call last):
  File ""D:\Auxiliium\proj\y9_first_group_project\website\ErrorHandler.py"", line 11, in handler
    return function(*args,**kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Auxiliium\proj\y9_first_group_project\website\data.py"", line 39, in filter_listings
    listings={""Listings"":Filter(request.json,json.loads(db.GetAllListings())[""Content""])}
                                             ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^
KeyError: 'Content'
"
"03/17/2023, 13:49:08",KeyError,'Content',filter_listings,"Traceback (most recent call last):
  File ""D:\Auxiliium\proj\y9_first_group_project\website\ErrorHandler.py"", line 11, in handler
    return function(*args,**kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Auxiliium\proj\y9_first_group_project\website\data.py"", line 39, in filter_listings
    listings={""Listings"":Filter(request.json,json.loads(db.GetAllListings())[""Content""])}
                                             ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^
KeyError: 'Content'
"
"03/17/2023, 13:58:56",KeyError,'Content',get_organisations,"Traceback (most recent call last):
  File ""D:\Auxiliium\proj\y9_first_group_project\website\ErrorHandler.py"", line 11, in handler
    return function(*args,**kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Auxiliium\proj\y9_first_group_project\website\data.py"", line 80, in get_organisations
    allOrganisations=json.loads(db.GetAllOrganisations())[""Content""]
                     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^
KeyError: 'Content'
"
"03/17/2023, 14:15:24",KeyError,'Content',filter_listings,"Traceback (most recent call last):
  File ""D:\Auxiliium\proj\y9_first_group_project\website\ErrorHandler.py"", line 11, in handler
    return function(*args,**kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""D:\Auxiliium\proj\y9_first_group_project\website\data.py"", line 39, in filter_listings
    listings={""Listings"":Filter(request.json,json.loads(db.GetAllListings())[""Content""])}
                                             ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^
KeyError: 'Content'
"
"03/17/2023, 14:49:28",KeyError,'Content',filter_listings,"Traceback (most recent call last):
  File ""/home/joe/GitRepos/COMP10120-Labs_d99547jh/project/y9_first_group_project/website/ErrorHandler.py"", line 11, in handler
    return function(*args,**kwargs)
  File ""/home/joe/GitRepos/COMP10120-Labs_d99547jh/project/y9_first_group_project/website/data.py"", line 39, in filter_listings
    listings={""Listings"":Filter(request.json,json.loads(db.GetAllListings())[""Content""])}
KeyError: 'Content'
"
"03/17/2023, 14:49:38",KeyError,'Content',filter_listings,"Traceback (most recent call last):
  File ""/home/joe/GitRepos/COMP10120-Labs_d99547jh/project/y9_first_group_project/website/ErrorHandler.py"", line 11, in handler
    return function(*args,**kwargs)
  File ""/home/joe/GitRepos/COMP10120-Labs_d99547jh/project/y9_first_group_project/website/data.py"", line 39, in filter_listings
    listings={""Listings"":Filter(request.json,json.loads(db.GetAllListings())[""Content""])}
KeyError: 'Content'
"
"03/17/2023, 14:49:38",KeyError,'Content',filter_listings,"Traceback (most recent call last):
  File ""/home/joe/GitRepos/COMP10120-Labs_d99547jh/project/y9_first_group_project/website/ErrorHandler.py"", line 11, in handler
    return function(*args,**kwargs)
  File ""/home/joe/GitRepos/COMP10120-Labs_d99547jh/project/y9_first_group_project/website/data.py"", line 39, in filter_listings
    listings={""Listings"":Filter(request.json,json.loads(db.GetAllListings())[""Content""])}
KeyError: 'Content'
"
"03/17/2023, 14:49:40",KeyError,'Content',filter_listings,"Traceback (most recent call last):
  File ""/home/joe/GitRepos/COMP10120-Labs_d99547jh/project/y9_first_group_project/website/ErrorHandler.py"", line 11, in handler
    return function(*args,**kwargs)
  File ""/home/joe/GitRepos/COMP10120-Labs_d99547jh/project/y9_first_group_project/website/data.py"", line 39, in filter_listings
    listings={""Listings"":Filter(request.json,json.loads(db.GetAllListings())[""Content""])}
KeyError: 'Content'
"
"03/17/2023, 14:49:40",KeyError,'Content',filter_listings,"Traceback (most recent call last):
  File ""/home/joe/GitRepos/COMP10120-Labs_d99547jh/project/y9_first_group_project/website/ErrorHandler.py"", line 11, in handler
    return function(*args,**kwargs)
  File ""/home/joe/GitRepos/COMP10120-Labs_d99547jh/project/y9_first_group_project/website/data.py"", line 39, in filter_listings
    listings={""Listings"":Filter(request.json,json.loads(db.GetAllListings())[""Content""])}
KeyError: 'Content'
"
"03/17/2023, 14:49:40",KeyError,'Content',filter_listings,"Traceback (most recent call last):
  File ""/home/joe/GitRepos/COMP10120-Labs_d99547jh/project/y9_first_group_project/website/ErrorHandler.py"", line 11, in handler
    return function(*args,**kwargs)
  File ""/home/joe/GitRepos/COMP10120-Labs_d99547jh/project/y9_first_group_project/website/data.py"", line 39, in filter_listings
    listings={""Listings"":Filter(request.json,json.loads(db.GetAllListings())[""Content""])}
KeyError: 'Content'
"
"03/17/2023, 14:49:40",KeyError,'Content',filter_listings,"Traceback (most recent call last):
  File ""/home/joe/GitRepos/COMP10120-Labs_d99547jh/project/y9_first_group_project/website/ErrorHandler.py"", line 11, in handler
    return function(*args,**kwargs)
  File ""/home/joe/GitRepos/COMP10120-Labs_d99547jh/project/y9_first_group_project/website/data.py"", line 39, in filter_listings
    listings={""Listings"":Filter(request.json,json.loads(db.GetAllListings())[""Content""])}
KeyError: 'Content'
"
"03/17/2023, 14:49:41",KeyError,'Content',filter_listings,"Traceback (most recent call last):
  File ""/home/joe/GitRepos/COMP10120-Labs_d99547jh/project/y9_first_group_project/website/ErrorHandler.py"", line 11, in handler
    return function(*args,**kwargs)
  File ""/home/joe/GitRepos/COMP10120-Labs_d99547jh/project/y9_first_group_project/website/data.py"", line 39, in filter_listings
    listings={""Listings"":Filter(request.json,json.loads(db.GetAllListings())[""Content""])}
KeyError: 'Content'
"
